IDENTIFIER,TNFI_TRUNC
1,30000
2,20000
3,22390
4,22390
5,36000
6,35000
7,8502
8,7227
9,17000
10,3548
11,12000
12,25000
13,20000
14,-2
15,22000
16,48000
17,15000
18,4510
19,9000
20,50000
21,40000
22,18000
23,44000
24,44000
25,-2
26,30000
27,20000
28,20000
29,24200
30,24200
31,5088
32,22500
33,23500
34,21000
35,18000
36,21000
37,37000
38,37000
39,22000
40,5500
41,5500
42,21000
43,-2
44,30000
45,15000
46,28000
47,32388
48,9000
49,23900
50,28000
51,28000
52,8000
53,15646
54,15000
55,12000
56,12000
57,23289
58,50000
59,50000
60,50000
61,32000
62,32000
63,37000
64,37000
65,37000
66,-1
67,35000
68,40000
69,40000
70,-3
71,-2
72,-1
73,25000
74,-2
75,-1
76,-2
77,-1
78,32000
79,35000
80,-1
81,-1
82,-1
83,22426
84,22426
85,12475
86,1688
87,12475
88,-2
89,29000
90,-2
91,-2
92,-1
93,8000
94,24000
95,24000
96,3000
97,8000
98,6618
99,22500
100,5904
101,15000
102,15000
103,16400
104,-1
105,28000
106,11000
107,25000
108,25000
109,18000
110,-2
111,-2
112,-2
113,-2
114,-2
115,52300
116,52300
117,52300
118,14000
119,7400
120,60000
121,60000
122,12000
123,-2
124,-2
125,30000
126,30000
127,15000
128,-2
129,45000
130,0
131,0
132,-3
133,25000
134,-3
135,-3
136,-2
137,40000
138,40000
139,40000
140,36000
141,29000
142,17000
143,17000
144,17000
145,12000
146,12000
147,22000
148,22000
149,22000
150,35000
151,35000
152,35000
153,25000
154,25000
155,18000
156,0
157,35000
158,35000
159,35000
160,17000
161,17000
162,24000
163,24000
164,-2
165,20000
166,20000
167,-2
168,3874
169,3874
170,-2
171,-1
172,3162
173,5000
174,30000
175,6600
176,-2
177,8813
178,-2
179,10000
180,18698
181,12000
182,12000
183,23000
184,23000
185,23000
186,30000
187,30000
188,22000
189,-2
190,26000
191,26000
192,20000
193,28000
194,28000
195,31000
196,70000
197,25000
198,30000
199,65000
200,25200
201,49000
202,4300
203,6159
204,-3
205,11960
206,13000
207,13000
208,7800
209,48000
210,20000
211,20000
212,-3
213,-1
214,-1
215,30000
216,21100
217,-3
218,15000
219,55000
220,55000
221,8400
222,8600
223,8900
224,8400
225,9156
226,9156
227,5184
228,8450
229,-1
230,19000
231,29000
232,29000
233,29000
234,5000
235,16000
236,30000
237,5710
238,12000
239,75
240,10000
241,10000
242,7236
243,12600
244,7910
245,15000
246,15000
247,6000
248,7000
249,7000
250,10600
251,6000
252,6000
253,14000
254,-2
255,22000
256,18000
257,18000
258,19450
259,19700
260,27000
261,27000
262,21000
263,21000
264,8000
265,38000
266,9200
267,18000
268,11500
269,8000
270,-1
271,-1
272,13870
273,13870
274,5800
275,5800
276,18000
277,-1
278,9000
279,25000
280,-2
281,25000
282,25000
283,29000
284,27000
285,29000
286,13000
287,-2
288,-2
289,-1
290,17900
291,3000
292,-2
293,-2
294,20000
295,14000
296,19000
297,16705
298,4872
299,4872
300,4000
301,6800
302,6300
303,6800
304,6300
305,2956
306,7226
307,-2
308,-3
309,38000
310,30000
311,30000
312,17000
313,17000
314,-2
315,-2
316,-1
317,29000
318,45000
319,31010
320,-2
321,50000
322,45000
323,30000
324,30000
325,30000
326,28000
327,75000
328,2000
329,2000
330,5780
331,4932
332,5780
333,10600
334,-3
335,800
336,6000
337,5000
338,6000
339,6000
340,6000
341,17000
342,17000
343,11400
344,-3
345,20000
346,15300
347,23000
348,49000
349,49000
350,49000
351,35000
352,35000
353,21975
354,21975
355,21975
356,25000
357,25000
358,40000
359,30000
360,45000
361,15000
362,12000
363,12000
364,-1
365,-1
366,-1
367,30000
368,40000
369,46000
370,46000
371,33000
372,33000
373,30270
374,30270
375,30270
376,8500
377,5400
378,5400
379,4900
380,-1
381,12320
382,7065
383,7065
384,7065
385,21500
386,21500
387,21500
388,11148
389,39000
390,14000
391,14000
392,29000
393,29000
394,10000
395,-2
396,4200
397,3900
398,5300
399,25500
400,25500
401,20000
402,-2
403,3000
404,22000
405,20000
406,22000
407,15000
408,35000
409,3617
410,16000
411,20000
412,20000
413,29000
414,9500
415,-2
416,-2
417,-2
418,6000
419,18000
420,18000
421,63000
422,63000
423,70000
424,14000
425,-3
426,23400
427,-3
428,-1
429,40000
430,40000
431,-2
432,19000
433,19000
434,15000
435,5000
436,17000
437,19260
438,12000
439,18000
440,30000
441,18000
442,14750
443,10000
444,40000
445,40000
446,7000
447,10000
448,10000
449,30000
450,30000
451,30000
452,1800
453,30000
454,-1
455,-2
456,37000
457,35500
458,40000
459,20000
460,10000
461,40000
462,-2
463,-2
464,26000
465,17500
466,10025
467,70000
468,-3
469,-2
470,5040
471,-2
472,-2
473,-2
474,-2
475,-2
476,20000
477,-3
478,28200
479,24000
480,30000
481,30000
482,50000
483,52000
484,52000
485,24000
486,24000
487,-1
488,-1
489,30000
490,13740
491,46000
492,46000
493,46000
494,30000
495,30000
496,30000
497,35000
498,40000
499,40000
500,40000
501,30000
502,30000
503,30000
504,30000
505,55000
506,55000
507,26000
508,26000
509,32000
510,30600
511,30600
512,34000
513,8204
514,8204
515,24000
516,7000
517,7000
518,7000
519,7000
520,35000
521,35000
522,35000
523,35000
524,-1
525,-1
526,37000
527,14000
528,-2
529,23780
530,-3
531,10800
532,25000
533,25000
534,22000
535,12000
536,12000
537,12000
538,7000
539,11000
540,11000
541,11000
542,23000
543,60000
544,60000
545,50000
546,25000
547,25000
548,27000
549,-1
550,22300
551,20000
552,35000
553,35000
554,35000
555,13000
556,44000
557,37000
558,37000
559,-2
560,33000
561,60000
562,45000
563,-2
564,45000
565,45000
566,45000
567,20000
568,-1
569,-1
570,-1
571,-1
572,-1
573,-1
574,-1
575,-1
576,-3
577,-1
578,-3
579,30000
580,25000
581,17300
582,7000
583,8850
584,20000
585,23000
586,5000
587,9600
588,9600
589,9600
590,-3
591,-1
592,12000
593,-3
594,4212
595,1400
596,10000
597,10000
598,20000
599,5000
600,24000
601,24000
602,40000
603,-2
604,30000
605,35000
606,35000
607,33000
608,30000
609,30000
610,30000
611,-3
612,4000
613,11000
614,-2
615,27000
616,27000
617,-3
618,4070
619,15170
620,18000
621,12000
622,5000
623,-1
624,-1
625,13000
626,-3
627,20000
628,5300
629,-1
630,-1
631,6060
632,8060
633,9150
634,9150
635,-3
636,75001
637,27000
638,25000
639,25000
640,20000
641,28000
642,34000
643,34000
644,6400
645,75001
646,15000
647,40000
648,40000
649,6400
650,22000
651,12000
652,12000
653,20000
654,27000
655,55000
656,11800
657,33000
658,11000
659,4000
660,42000
661,-3
662,42000
663,20000
664,52000
665,45000
666,35000
667,35000
668,25000
669,24000
670,24000
671,16000
672,16000
673,25000
674,25000
675,25000
676,25000
677,4000
678,15000
679,5000
680,5000
681,5000
682,5000
683,16000
684,30000
685,30000
686,30000
687,-1
688,15000
689,15000
690,-3
691,20000
692,20000
693,26500
694,26500
695,-1
696,-1
697,25000
698,-3
699,-3
700,-3
701,10000
702,10000
703,16300
704,16000
705,4000
706,27000
707,18000
708,2946
709,10000
710,-3
711,25000
712,50000
713,14049
714,14049
715,-2
716,27000
717,30000
718,40000
719,20000
720,23700
721,20000
722,60000
723,60000
724,40000
725,40000
726,12000
727,12000
728,13000
729,-1
730,30000
731,10000
732,50000
733,50000
734,19000
735,17000
736,17000
737,-2
738,15035
739,15355
740,35000
741,5000
742,2400
743,40000
744,-3
745,25000
746,26200
747,26200
748,40000
749,30000
750,-1
751,0
752,4250
753,9000
754,7000
755,11000
756,11000
757,5328
758,20000
759,20000
760,20000
761,3150
762,25500
763,25500
764,25500
765,25500
766,38500
767,19000
768,-1
769,35000
770,35000
771,20000
772,14510
773,20000
774,26000
775,7240
776,23000
777,23000
778,23000
779,20000
780,34078
781,42000
782,-2
783,17000
784,17000
785,18000
786,18000
787,18000
788,32000
789,50000
790,22000
791,24000
792,25000
793,50000
794,5500
795,45000
796,40000
797,40000
798,26000
799,26000
800,29000
801,20000
802,20000
803,30000
804,30000
805,26624
806,30000
807,30000
808,35000
809,35000
810,35000
811,30000
812,21000
813,35000
814,45000
815,25000
816,31000
817,30000
818,41000
819,-3
820,30000
821,65000
822,60000
823,-2
824,35000
825,40000
826,50000
827,30000
828,30000
829,5410
830,8000
831,11000
832,16000
833,-3
834,-3
835,15000
836,744
837,-3
838,32000
839,14000
840,7500
841,-3
842,-2
843,17000
844,17000
845,-3
846,12000
847,30000
848,14000
849,12000
850,12000
851,7950
852,-2
853,35000
854,35000
855,20000
856,25000
857,20000
858,20000
859,25000
860,25000
861,15000
862,10700
863,60000
864,60000
865,-1
866,21000
867,-1
868,-1
869,40000
870,15000
871,15000
872,30000
873,30000
874,30000
875,5000
876,5090
877,38000
878,38000
879,25000
880,-3
881,40000
882,38000
883,38000
884,21000
885,21000
886,-2
887,-2
888,12250
889,12600
890,40000
891,4452
892,21000
893,-2
894,-1
895,-2
896,25000
897,28000
898,28000
899,10000
900,-2
901,-2
902,25000
903,75001
904,-2
905,20000
906,20000
907,20000
908,20000
909,20000
910,10870
911,3000
912,19000
913,19000
914,37000
915,37000
916,70000
917,28000
918,28000
919,17000
920,17000
921,17000
922,21000
923,21000
924,29000
925,-1
926,50000
927,14000
928,-1
929,20000
930,-3
931,11670
932,11601
933,24000
934,24000
935,25000
936,25000
937,25000
938,25000
939,-3
940,-2
941,35000
942,15000
943,34300
944,6000
945,20000
946,20000
947,17000
948,20000
949,21000
950,21000
951,18000
952,18000
953,-2
954,-2
955,25000
956,25000
957,21000
958,45000
959,75001
960,75001
961,75001
962,75001
963,75001
964,75001
965,15000
966,15000
967,15000
968,20000
969,33000
970,33000
971,33000
972,33000
973,21000
974,18000
975,18000
976,45000
977,-1
978,-2
979,13000
980,-2
981,-2
982,-2
983,3000
984,9400
985,35000
986,15000
987,-2
988,-1
989,60000
990,7010
991,60000
992,17000
993,13409
994,13160
995,19900
996,17000
997,24900
998,14012
999,14144
1000,7760
1001,-2
1002,-3
1003,15000
1004,7500
1005,-3
1006,1500
1007,22000
1008,-2
1009,19600
1010,18000
1011,23000
1012,25000
1013,25000
1014,-2
1015,60000
1016,-1
1017,-1
1018,-1
1019,50000
1020,50000
1021,-2
1022,-2
1023,-2
1024,43000
1025,-3
1026,19965
1027,4572
1028,4572
1029,4572
1030,3480
1031,-3
1032,3480
1033,3450
1034,4080
1035,21000
1036,13000
1037,20000
1038,20000
1039,16200
1040,11000
1041,5923
1042,6000
1043,6850
1044,20000
1045,30000
1046,30000
1047,5700
1048,11076
1049,29000
1050,10000
1051,25000
1052,30000
1053,30000
1054,19000
1055,-3
1056,10205
1057,-3
1058,11000
1059,11000
1060,24000
1061,-3
1062,10300
1063,1963
1064,-1
1065,7200
1066,3500
1067,3500
1068,3500
1069,20000
1070,3230
1071,19037
1072,18000
1073,5000
1074,5000
1075,15500
1076,3000
1077,16132
1078,14000
1079,14000
1080,40000
1081,51000
1082,51000
1083,-3
1084,9678
1085,25000
1086,39000
1087,39000
1088,30000
1089,13000
1090,13000
1091,17000
1092,17000
1093,50000
1094,-3
1095,10000
1096,10400
1097,37000
1098,37000
1099,37000
1100,37000
1101,23000
1102,40000
1103,26000
1104,26000
1105,26000
1106,26000
1107,-2
1108,50000
1109,50000
1110,17000
1111,15765
1112,9000
1113,23000
1114,11000
1115,7720
1116,4300
1117,-1
1118,2000
1119,-3
1120,13900
1121,13000
1122,9350
1123,-2
1124,-2
1125,8000
1126,8000
1127,-2
1128,15280
1129,20000
1130,14030
1131,-3
1132,12000
1133,25000
1134,25000
1135,25000
1136,12000
1137,50000
1138,6400
1139,50000
1140,60000
1141,75001
1142,60000
1143,60000
1144,60000
1145,40000
1146,8000
1147,25000
1148,5532
1149,5532
1150,5532
1151,20000
1152,20000
1153,20000
1154,16000
1155,16000
1156,20000
1157,10300
1158,25000
1159,25000
1160,25000
1161,10000
1162,-2
1163,100
1164,-2
1165,-3
1166,16000
1167,70000
1168,22000
1169,10000
1170,-2
1171,-1
1172,-1
1173,-1
1174,-2
